t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
0.96,-56.34246824,-64.99669519,0.1062025287,0.5770550519,0.3298595486,-8.820837115,8.804347413,-0.5866404735,0,0
0.97,-56.23643694,-64.99666669,0.1071561354,0.5766296641,0.3301195707,-9.04488084,8.877475215,-0.554831083,0,0
0.98,-56.12921458,-64.99663831,0.1081222481,0.5761979767,0.3303830023,-9.275410213,8.951835143,-0.5226643728,0,0
0.99,-56.02075218,-64.99661003,0.1091012399,0.5757598803,0.3306498925,-9.512673381,9.027467994,-0.4901256545,0,0
1,-55.91099887,-64.99658187,0.1100935005,0.5753152611,0.3309202924,-9.756931284,9.104416322,-0.4571996614,0,0
1.01,-55.79990173,-64.99655381,0.1110994364,0.5748640002,0.3311942555,-10.00845844,9.182724537,-0.4238705175,0,0
1.02,-55.68740568,-64.99652587,0.1121194722,0.5744059738,0.3314718374,-10.26754381,9.262439014,-0.3901217042,0,0
1.03,-55.57345342,-64.99649804,0.1131540511,0.5739410524,0.3317530962,-10.53449169,9.343608196,-0.3559360247,0,0
1.04,-55.45798522,-64.99647032,0.1142036363,0.573469101,0.3320380926,-10.80962269,9.426282727,-0.3212955662,0,0
1.05,-55.34093887,-64.99644272,0.1152687114,0.5729899785,0.3323268899,-11.09327481,9.510515568,-0.2861816596,0,0
1.06,-55.22224946,-64.99641522,0.1163497819,0.5725035377,0.3326195543,-11.38580452,9.596362144,-0.2505748369,0,0
1.07,-55.10184928,-64.99638783,0.1174473761,0.5720096246,0.3329161548,-11.68758804,9.683880487,-0.2144547852,0,0
1.08,-54.97966766,-64.99636056,0.1185620462,0.5715080782,0.3332167636,-11.99902259,9.773131393,-0.1778002982,0,0
1.09,-54.85563075,-64.9963334,0.1196943698,0.5709987303,0.3335214558,-12.32052781,9.864178594,-0.1405892238,0,0
1.1,-54.72966136,-64.99630635,0.1208449512,0.5704814047,0.3338303103,-12.65254731,9.957088936,-0.1027984084,0,0
1.11,-54.60167879,-64.99627941,0.1220144225,0.5699559171,0.3341434093,-12.99555028,10.05193258,-0.06440363808,0,0
1.12,-54.47159858,-64.99625258,0.1232034456,0.5694220746,0.3344608387,-13.35003324,10.14878319,-0.02537957406,0,0
1.13,-54.33933228,-64.99622587,0.1244127135,0.5688796751,0.3347826885,-13.71652199,10.24771819,0.01430031482,0,0
1.14,-54.20478725,-64.99619926,0.1256429522,0.5683285066,0.3351090527,-14.09557364,10.348819,0.05466382525,0,0
1.15,-54.06786634,-64.99617277,0.1268949225,0.567768347,0.3354400297,-14.48777887,10.45217125,0.0957400977,0,0
1.16,-53.92846767,-64.99614639,0.1281694221,0.5671989634,0.3357757225,-14.89376431,10.55786513,0.1375597003,0,0
1.17,-53.78648427,-64.99612012,0.1294672874,0.5666201111,0.336116239,-15.31419519,10.66599564,0.1801547187,0,0
1.18,-53.64180382,-64.99609396,0.1307893964,0.5660315333,0.336461692,-15.74977818,10.77666296,0.2235588532,0,0
1.19,-53.49430826,-64.99606791,0.1321366704,0.5654329602,0.3368121999,-16.20126443,10.88997275,0.2678075223,0,0
1.2,-53.34387342,-64.99604198,0.1335100773,0.5648241081,0.3371678868,-16.66945297,11.00603659,0.3129379748,0,0
1.21,-53.19036863,-64.99601615,0.1349106338,0.5642046786,0.3375288828,-17.1551943,11.12497234,0.35898941,0,0
1.22,-53.03365631,-64.99599044,0.1363394092,0.5635743576,0.3378953243,-17.65939437,11.24690463,0.4060031077,0,0
1.23,-52.87359144,-64.99596484,0.1377975277,0.5629328145,0.3382673546,-18.18301889,11.37196533,0.4540225676,0,0
1.24,-52.71002113,-64.99593935,0.1392861725,0.5622797006,0.3386451242,-18.727098,11.50029408,0.5030936605,0,0
1.25,-52.54278403,-64.99591397,0.1408065897,0.5616146485,0.3390287912,-19.2927314,11.63203885,0.5532647913,0,0
1.26,-52.37170975,-64.99588871,0.1423600917,0.5609372704,0.3394185216,-19.88109393,11.76735658,0.6045870746,0,0
1.27,-52.19661825,-64.99586355,0.1439480621,0.5602471568,0.3398144903,-20.49344167,11.90641387,0.6571145254,0,0
1.28,-52.01731912,-64.99583851,0.14557196,0.559543875,0.3402168812,-21.1311186,12.04938767,0.7109042652,0,0
1.29,-51.83361085,-64.99581358,0.1472333255,0.5588269677,0.3406258879,-21.7955639,12.19646617,0.7660167452,0,0
1.3,-51.64528004,-64.99578876,0.1489337846,0.5580959506,0.3410417145,-22.48831995,12.34784959,0.8225159882,0,0
1.31,-51.4521005,-64.99576405,0.1506750557,0.5573503113,0.341464576,-23.21104104,12.50375122,0.8804698513,0,0
1.32,-51.2538323,-64.99573945,0.1524589554,0.5565895065,0.3418946994,-23.96550303,12.66439844,0.9399503112,0,0
1.33,-51.05022075,-64.99571497,0.1542874058,0.55581296,0.3423323242,-24.75361385,12.83003388,1.001033774,0,0
1.34,-50.84099529,-64.9956906,0.1561624417,0.5550200603,0.3427777034,-25.57742512,13.0009167,1.063801413,0,0
1.35,-50.62586822,-64.99566633,0.1580862189,0.5542101577,0.3432311044,-26.43914484,13.17732398,1.128339534,0,0
1.36,-50.40453341,-64.99564218,0.1600610228,0.5533825616,0.3436928102,-27.34115146,13.35955225,1.194739978,0,0
1.37,-50.17666482,-64.99561815,0.162089278,0.5525365372,0.3441631201,-28.28600929,13.54791922,1.263100555,0,0
1.38,-49.94191492,-64.99559422,0.1641735587,0.5516713016,0.3446423515,-29.27648555,13.74276557,1.333525524,0,0
1.39,-49.69991298,-64.9955704,0.1663165996,0.5507860207,0.3451308408,-30.31556912,13.94445708,1.406126107,0,0
1.4,-49.45026312,-64.9955467,0.1685213085,0.5498798045,0.3456289448,-31.4064913,14.15338688,1.481021065,0,0
1.41,-49.19254228,-64.99552311,0.1707907795,0.5489517027,0.3461370427,-32.55274871,14.36997795,1.558337315,0,0
1.42,-48.92629795,-64.99549962,0.1731283071,0.5480006998,0.3466555372,-33.75812861,14.59468594,1.638210615,0,0
1.43,-48.65104563,-64.99547625,0.1755374026,0.5470257095,0.347184857,-35.02673693,14.82800227,1.720786312,0,0
1.44,-48.36626614,-64.995453,0.1780218108,0.5460255689,0.3477254585,-36.36302923,15.07045756,1.806220157,0,0
1.45,-48.07140263,-64.99542985,0.1805855289,0.5449990319,0.3482778279,-37.77184511,15.32262548,1.894679211,0,0
1.46,-47.76585723,-64.99540681,0.1832328273,0.5439447623,0.348842484,-39.25844616,15.585127,1.986342832,0,0
1.47,-47.44898746,-64.99538389,0.1859682715,0.5428613259,0.3494199808,-40.82855816,15.8586352,2.081403761,0,0
1.48,-47.12010227,-64.99536108,0.1887967469,0.5417471823,0.3500109104,-42.48841779,16.14388059,2.180069319,0,0
1.49,-46.77845759,-64.99533837,0.1917234857,0.5406006755,0.3506159063,-44.24482436,16.44165706,2.282562723,0,0
1.5,-46.42325155,-64.99531578,0.194754096,0.5394200245,0.3512356469,-46.1051972,16.7528286,2.389124536,0,0
1.51,-46.0536191,-64.9952933,0.1978945936,0.5382033119,0.3518708595,-48.0776392,17.07833683,2.500014269,0,0
1.52,-45.66862622,-64.99527094,0.2011514379,0.5369484731,0.3525223248,-50.1710072,17.41920942,2.615512133,0,0
